




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (208)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
immunoglobulin mediated immune response (GO:0016064)	267	91	2.54	+	35.78	4.99E-122	1.92E-118
B cell mediated immunity (GO:0019724)	273	91	2.60	+	34.99	5.65E-121	1.74E-117
lymphocyte mediated immunity (GO:0002449)	357	91	3.40	+	26.76	1.19E-108	3.06E-105
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	367	91	3.50	+	26.03	2.03E-107	4.48E-104
leukocyte mediated immunity (GO:0002443)	417	91	3.97	+	22.91	8.48E-102	1.63E-98
adaptive immune response (GO:0002250)	522	95	4.97	+	19.11	1.38E-98	2.36E-95
immune effector process (GO:0002252)	579	91	5.52	+	16.50	7.66E-88	1.18E-84
immune response (GO:0006955)	1738	176	16.56	+	10.63	3.22E-161	4.96E-157
immune system process (GO:0002376)	2504	176	23.85	+	7.38	1.35E-132	1.04E-128
Unclassified (UNCLASSIFIED)	1265	31	12.05	+	2.57	1.25E-06	1.42E-04
response to stimulus (GO:0050896)	9180	176	87.44	+	2.01	5.71E-37	5.50E-34
biological_process (GO:0008150)	20571	177	195.95	-	.90	1.25E-06	1.43E-04
response to other organism (GO:0051707)	1534	2	14.61	-	.14	5.78E-05	4.47E-03
response to external biotic stimulus (GO:0043207)	1538	2	14.65	-	.14	5.78E-05	4.50E-03
response to biotic stimulus (GO:0009607)	1579	2	15.04	-	.13	3.94E-05	3.16E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1677	2	15.97	-	.13	1.84E-05	1.60E-03
response to external stimulus (GO:0009605)	2074	2	19.76	-	.10	5.37E-07	6.41E-05
regulation of primary metabolic process (GO:0080090)	5523	0	52.61	-	 < 0.01	6.77E-27	3.36E-24
protein transport (GO:0015031)	1089	0	10.37	-	 < 0.01	3.82E-05	3.18E-03
central nervous system development (GO:0007417)	1025	0	9.76	-	 < 0.01	8.92E-05	6.61E-03
epithelium development (GO:0060429)	1284	0	12.23	-	 < 0.01	4.86E-06	5.00E-04
system process (GO:0003008)	2855	0	27.20	-	 < 0.01	3.74E-13	9.01E-11
organelle organization (GO:0006996)	3139	0	29.90	-	 < 0.01	1.26E-14	3.30E-12
developmental process involved in reproduction (GO:0003006)	1173	0	11.17	-	 < 0.01	1.68E-05	1.52E-03
