ensg_id,gene_symbol,leiden-nt,leiden-esm3,mmidas-joint,nt-umap-0,nt-umap-1,aa-umap-0,aa-umap-1
ENSMUSG00000018566.15,Slc2a4,8,3,9,10.830853,0.34616205,14.341636,4.8354344
ENSMUSG00000040888.12,Gfer,14,24,-1,11.152143,-4.010281,7.1494684,4.560211
ENSMUSG00000078235.4,Fam43b,2,23,1,11.687284,1.1193068,6.5269575,0.82454395
ENSMUSG00000037601.12,Nme1,11,8,-1,14.691661,-1.6009783,9.567575,8.38459
ENSMUSG00000047642.16,D930020B18Rik,7,6,1,13.537884,2.8080556,6.777545,0.17769924
ENSMUSG00000061353.12,Cxcl12,8,30,11,12.826365,-1.1007557,0.48031548,9.979797
ENSMUSG00000084136.5,Vmn1r207,10,46,17,6.9390717,-2.1531448,18.812887,4.8866725
ENSMUSG00000004789.11,Dlst,11,8,-1,12.502499,-0.6630957,8.041293,7.1715384
ENSMUSG00000096459.2,Ighv9-3,0,14,18,3.4765606,5.402544,8.418223,18.524912
ENSMUSG00000066438.7,Plekhd1,11,34,1,14.753626,0.09103816,7.368396,-3.6028364
ENSMUSG00000032815.17,Fanca,14,33,6,10.8455925,-3.5131016,4.7756495,-0.20465724
ENSMUSG00000046697.18,Enpp7,2,8,0,8.225745,1.4704119,7.3374586,8.171524
ENSMUSG00000022523.11,Fgf12,11,7,0,12.974485,0.20060797,6.9294434,10.654917
ENSMUSG00000048978.15,Nrsn1,11,1,2,12.316499,0.86678845,11.111041,0.21663432
ENSMUSG00000079110.13,Capn3,2,9,-1,9.163966,0.61277366,6.719881,6.6414485
ENSMUSG00000028995.15,Hycc1,5,6,1,12.409727,2.3221323,8.094568,-0.62308645
ENSMUSG00000079038.4,Zfp781a,0,38,3,5.828163,2.589531,7.7265167,-6.7560425
ENSMUSG00000044022.6,Pcdhb21,9,22,25,12.413664,-3.8629687,-2.5886533,9.41583
ENSMUSG00000002064.11,Sdf2,5,7,0,9.422152,3.449562,6.730269,9.930297
ENSMUSG00000121906.1,Dusp13a,5,9,0,9.359445,4.3148656,7.1440897,6.2401342
ENSMUSG00000052566.9,Hook2,8,34,1,11.513324,-1.1229781,7.6691084,-4.616452
ENSMUSG00000037736.21,Limch1,7,23,3,13.603404,3.253174,6.5814686,-0.4535897
ENSMUSG00000039911.14,Spsb1,2,7,0,11.754575,1.8879552,6.3626885,8.421374
ENSMUSG00000050244.10,Heatr1,8,33,6,10.069197,-0.16805832,4.0739455,0.076070234
ENSMUSG00000073117.3,Gm7347,17,34,23,7.8501143,0.57819873,9.265377,-4.1077194
ENSMUSG00000036442.9,Thap11,5,12,1,10.968742,3.4808888,7.220077,0.94204825
ENSMUSG00000000441.18,Raf1,5,23,1,12.54468,2.0625908,7.3232923,1.3784404
ENSMUSG00000033499.15,Larp4b,11,6,3,15.410784,-1.5155641,7.161842,-0.7109826
ENSMUSG00000001751.10,Naglu,14,17,0,10.885086,-4.393605,7.244577,7.9883947
ENSMUSG00000075133.3,Or5d41,10,44,4,7.1490803,-2.5372021,-4.5128093,5.6109505
ENSMUSG00000045100.12,Slc25a26,11,2,-1,13.13965,-1.0640873,0.8794243,0.51916116
ENSMUSG00000029209.16,Gnpda2,2,8,0,10.030935,2.5056713,8.781718,7.9696903
ENSMUSG00000066242.4,Or5p5,0,44,4,6.076054,2.2010229,-5.14076,3.8638139
ENSMUSG00000028455.16,Stoml2,2,29,1,8.940386,2.2481658,6.7206097,5.2530417
ENSMUSG00000025134.3,Alyref,7,36,13,14.564066,2.395631,10.177873,1.7826543
ENSMUSG00000045932.13,Ifit2,2,29,14,10.013197,1.8930057,4.8906245,2.763916
ENSMUSG00000033538.14,Casp4,2,9,1,7.401787,3.4459474,6.629593,6.874871
